Designação;Estado;Desiggrupo;Designação Linha;Freguesia;Município;Distrito
Espadanal da Azambuja;Com Exploração;Apeadeiro;Linha do Norte;Vila Nova da Rainha;AZAMBUJA;LISBOA
Couto de Cambeses;Com Exploração;Apeadeiro;Ramal de Braga;Cambeses;BARCELOS;BRAGA
Parede;Com Exploração;Apeadeiro;Linha de Cascais;Carcavelos e Parede;CASCAIS;LISBOA
Vesúvio;Com Exploração;Apeadeiro;Linha do Douro;Numão;VILA NOVA DE FOZ CÔA;GUARDA
Fundão;Com Exploração;Estação;Linha da Beira Baixa;Fundão, Valverde, Donas, A. Joanes, A. Nova do Cabo;FUNDÃO;CASTELO BRANCO
São Martinho do Porto;Com Exploração;Estação;Linha do Oeste;São Martinho do Porto;ALCOBAÇA;LEIRIA
Quinta do Valongo - Vacariça;Com Exploração;Apeadeiro;Linha da Beira Alta;Vacariça;MEALHADA;AVEIRO
Oleiros;Com Exploração;Apeadeiro;Linha do Douro;Guilhufe e Urrô;PENAFIEL;PORTO
Alhandra;Com Exploração;Estação;Linha do Norte;Alhandra, São João dos Montes e Calhandriz;VILA FRANCA DE XIRA;LISBOA
Areosa;Com Exploração;Apeadeiro;Linha do Minho;Areosa;VIANA DO CASTELO;VIANA DO CASTELO
Vale de Figueira;Com Exploração;Estação;Linha do Norte;São Vicente do Paul e Vale de Figueira;SANTARÉM;SANTARÉM
Juncal;Com Exploração;Estação;Linha do Douro;Paredes de Viadores e Manhuncelos;MARCO DE CANAVESES;PORTO
São Martinho do Campo;Com Exploração;Apeadeiro;Linha do Douro;Campo e Sobrado;VALONGO;PORTO
Paialvo;Com Exploração;Apeadeiro;Linha do Norte;Madalena e Beselga;TOMAR;SANTARÉM
Vilela - Fornos ;Com Exploração;Apeadeiro;Linha do Norte;Trouxemil e Torre de Vilela;COIMBRA;COIMBRA
Leandro;Com Exploração;Estação;Linha do Minho;São Pedro Fins;MAIA;PORTO
Vila Nova da Cerveira;Com Exploração;Estação;Linha do Minho;Vila Nova de Cerveira e Lovelhe;VILA NOVA DE CERVEIRA;VIANA DO CASTELO
Vargelas;Com Exploração;Estação;Linha do Douro;Vale de Figueira;SÃO JOÃO DA PESQUEIRA;VISEU
Noémi;Com Exploração;Estação;Linha da Beira Alta;Miuzela e Porto de Ovelha;ALMEIDA;GUARDA
Alcaide;Com Exploração;Apeadeiro;Linha da Beira Baixa;Alcaide;FUNDÃO;CASTELO BRANCO
Pinhel;Com Exploração;Estação;Linha da Beira Alta;Alverca da Beira/Bouça Cova;PINHEL;GUARDA
Soalheira;Com Exploração;Apeadeiro;Linha da Beira Baixa;Castelo Novo;FUNDÃO;CASTELO BRANCO
Regueira de Pontes;Com Exploração;Apeadeiro;Linha do Oeste;Regueira de Pontes;LEIRIA;LEIRIA
Mouriscas-A;Com Exploração;Estação;Linha da Beira Baixa;Mouriscas;ABRANTES;SANTARÉM
Carcavelos;Com Exploração;Estação;Linha de Cascais;Carcavelos e Parede;CASCAIS;LISBOA
Oeiras;Com Exploração;Estação;Linha de Cascais;Oeiras e S. Julião da Barra, Paço de Arcos e Caxias;OEIRAS;LISBOA
Leça do Balio;Com Exploração;Estação;Linha de Leixões;Custóias, Leça do Balio e Guifões;MATOSINHOS;PORTO
Barrimau;Com Exploração;Apeadeiro;Linha do Minho;Vila Nova de Famalicão e Calendário;VILA NOVA DE FAMALICÃO;BRAGA
Portalegre;Com Exploração;Estação;Linha do Leste;Urra;PORTALEGRE;PORTALEGRE
São Mamede;Com Exploração;Apeadeiro;Linha do Oeste;Roliça;BOMBARRAL;LEIRIA
Telhada;Com Exploração;Apeadeiro;Linha do Oeste;Paião;FIGUEIRA DA FOZ;COIMBRA
São Mamede do Tua;Com Exploração;Apeadeiro;Linha do Douro;Castedo e Cotas;ALIJÓ;VILA REAL
Mouriscas;Com Exploração;Estação;Linha da Beira Baixa;Mouriscas;ABRANTES;SANTARÉM
Ermesinde - A;Com Exploração;Estação;Linha do Douro;Ermesinde;VALONGO;PORTO
Bicanho;Com Exploração;Apeadeiro;Linha do Oeste;Samuel;SOURE;COIMBRA
